Date,Description,Reference/Transaction_ID,Debit,Credit,Balance,Category
29 Dec 2024,Bears Bar Nagano,,10.23,,,,Food & Drink
29 Dec 2024,Intnl Transaction Fee,,0.00,,,
29 Dec 2024,Bears Bar Nagano,,28.64,,,,Food & Drink
29 Dec 2024,Intnl Transaction Fee,,0.00,,,
29 Dec 2024,Bears Cafe Sakka Nagano,,9.20,,,,Food & Drink
29 Dec 2024,Intnl Transaction Fee,,0.00,,,
29 Dec 2024,Sq*Penke Bar Hakuba Tokyo,,45.51,,,,Food & Drink
29 Dec 2024,Intnl Transaction Fee,,0.00,,,
29 Dec 2024,Happo-One Kokusai Tick Nagano,,67.50,,,,Travel
29 Dec 2024,Intnl Transaction Fee,,0.00,,,
30 Dec 2024,Payment Received, Thank You,,,-3900.00,,,
30 Dec 2024,Baitenfutabasanobori Yamanashi,,9.72,,,,Grocery
30 Dec 2024,Intnl Transaction Fee,,0.00,,,
30 Dec 2024,Starbucks Coffee Japan Tokyo,,21.65,,,,Food & Drink
30 Dec 2024,Intnl Transaction Fee,,0.00,,,
31 Dec 2024,Tokyodome City Shop&Re Toukiyouto,,24.46,,,,Shopping
31 Dec 2024,Intnl Transaction Fee,,0.00,,,
31 Dec 2024,Expedia 72996886707075 Expedia.Com,,390.32,,,,Travel
31 Dec 2024,Intnl Transaction Fee,,0.00,,,
01 Jan 2025,Marleyspoon.Com.Au Alexandria,,200.35,,,,Food & Drink
02 Jan 2025,Payment Received, Thank You,,,-665.00,,,
02 Jan 2025,Perth Duty Free Perth Airport,,155.30,,,,Shopping
02 Jan 2025,Google One Barangaroo,,12.49,,,,Technology
02 Jan 2025,Turkish Kitchen St James,,70.00,,,,Food & Drink
03 Jan 2025,Minit Australia Pty Perth,,9.95,,,,Service
03 Jan 2025,Amazon Web Services Sydney,,3.80,,,,Technology
03 Jan 2025,Coles 0356coles 0356 Karawara,,278.81,,,,Grocery
03 Jan 2025,Sq *Ramen Mitsuya Perth,,18.00,,,,Food & Drink
04 Jan 2025,Myer Pty Ltd Docklands,,,-142.95,,,
04 Jan 2025,Uber *Trip Sydney,,10.96,,,,Travel
04 Jan 2025,Sq *The Beach Bus Mosman Park,,18.19,,,,Travel
04 Jan 2025,Clancy's Fish Pub Fremantle,,32.50,,,,Food & Drink
04 Jan 2025,Spa In The Park East Victoria,,38.00,,,,Health
05 Jan 2025,Www.Jetpacglobal.Com Singapore,,8.08,,,,Technology
05 Jan 2025,Intnl Transaction Fee,,0.00,,,
05 Jan 2025,Lsp*Hoopla Espresso Kensington,,95.20,,,,Food & Drink
05 Jan 2025,Coles 0296coles 0296 Angelo Street,,21.00,,,,Grocery
05 Jan 2025,Coles 0296coles 0296 Angelo Street,,83.33,,,,Grocery
05 Jan 2025,F45 South Perth South Perth,,55.00,,,,Fitness
05 Jan 2025,Farmer Jacks Como Como,,8.07,,,,Grocery
06 Jan 2025,Payment Received, Thank You,,,-656.00,,,
06 Jan 2025,The Australian Sports Belconnen,,100.00,,,,Entertainment
06 Jan 2025,Speedy Spares Kensington,,40.50,,,,Automotive
06 Jan 2025,Sim Cards, Esim - Sim Central,,37.00,,,,Telecommunications
06 Jan 2025,Intnl Transaction Fee,,0.00,,,
06 Jan 2025,United Perth Airport Perth Airport,,46.95,,,,Travel
06 Jan 2025,Steam Purchase Seattle,,12.77,,,,Entertainment
06 Jan 2025,Intnl Transaction Fee,,0.00,,,
06 Jan 2025,East V West Perth Airport,,10.10,,,,Travel
07 Jan 2025,Post South Perth Angel South Perth,,1.50,,,,Service
07 Jan 2025,Telstra Services Melbourne,,110.00,,,,Telecommunications
07 Jan 2025,Steamgames.Com 4259522 Bellevue,,32.80,,,,Entertainment
07 Jan 2025,Intnl Transaction Fee,,0.00,,,
07 Jan 2025,Coles 0296coles 0296 Angelo Street,,82.26,,,,Grocery
07 Jan 2025,Southern Clinic Como,,95.00,,,,Health
08 Jan 2025,Payment Received, Thank You,,,-1,100.00,,,
08 Jan 2025,Marleyspoon.Com.Au Alexandria,,200.35,,,,Food & Drink
08 Jan 2025,Bunnings 392000 East Victoria,,82.18,,,,Hardware
08 Jan 2025,Telco Pay Fortitude Val,,24.80,,,,Telecommunications
08 Jan 2025,Officeworks 0601office E Victoria Pk,,17.70,,,,Office Supplies
08 Jan 2025,Bunnings 392000 East Victoria,,50.21,,,,Hardware
08 Jan 2025,Aldi Stores - East VIC St James,,41.13,,,,Grocery
10 Jan 2025,Movies By Burswood (In Burswood,,14.00,,,,Entertainment
10 Jan 2025,Dot - Licensing West Perth,,28.40,,,,Licensing
10 Jan 2025,Trainline London,,158.95,,,,Travel
10 Jan 2025,Intnl Transaction Fee,,0.00,,,
10 Jan 2025,Kmart 1278kmart 1278 E Victoria Pk,,21.15,,,,Retail
10 Jan 2025,Coles 0340coles 0340 E Victoria Pk,,21.50,,,,Grocery
10 Jan 2025,Sp City West West Perth,,4.09,,,,Parking
10 Jan 2025,Ikea Perth Innaloo,,41.00,,,,Retail
10 Jan 2025,Ikea Perth Innaloo,,143.60,,,,Retail
11 Jan 2025,Farmer Jacks Como Como,,18.74,,,,Grocery
11 Jan 2025,Ikea Pty Ltd Tempe,,13.00,,,,Retail
12 Jan 2025,Amazon AU Marketplace Sydney,,37.49,,,,Retail
12 Jan 2025,Amazon AU Retail Sydney,,4.00,,,,Retail
12 Jan 2025,The Hare and Hounds Lymington,,19.92,,,,Food & Drink
12 Jan 2025,Intnl Transaction Fee,,0.00,,,
12 Jan 2025,Google Youtubepremium Barangaroo,,32.99,,,,Technology
12 Jan 2025,Ls North Street Store Cottesloe,,43.43,,,,Retail
12 Jan 2025,F45 South Perth South Perth,,55.00,,,,Fitness
12 Jan 2025,Wiz Phy Garden 2 Booragoon,,26.94,,,,Garden Supplies
13 Jan 2025,Chilliz Karawara Karawara,,24.20,,,,Food & Drink
13 Jan 2025,Payment Received, Thank You,,,-950.00,,,
13 Jan 2025,Rac Insurance Online West Perth,,131.08,,,,Insurance
13 Jan 2025,Rac Insurance Qb West Perth,,60.08,,,,Insurance
13 Jan 2025,Kambarang Garden Cent Bentley,,91.91,,,,Garden Supplies
13 Jan 2025,Kambarang Garden Cent Bentley,,52.52,,,,Garden Supplies
13 Jan 2025,Farmer Jacks Como Como,,74.42,,,,Grocery
14 Jan 2025,Grilld Pty Ltd Karawara,,33.00,,,,Food & Drink
14 Jan 2025,Coles 0356coles 0356 Karawara,,152.18,,,,Grocery
15 Jan 2025,Payment Received, Thank You,,,-660.00,,,
15 Jan 2025,Marleyspoon.Com.Au Alexandria,,200.35,,,,Food & Drink
15 Jan 2025,Gfn By Cloudgg Balcatta,,14.99,,,,Technology
15 Jan 2025,Woolworths 4333 Victoria Park,,9.50,,,,Grocery
15 Jan 2025,Chemist Warehouse Victoria Park,,100.87,,,,Pharmacy
15 Jan 2025,Pin* Hockey WA Bentley,,98.57,,,,Sports
16 Jan 2025,Central Park Curry Hou Perth,,17.00,,,,Food & Drink
16 Jan 2025,Monthly Fee Waived,,0.00,,,
17 Jan 2025,Chilliz Karawara Karawara,,23.50,,,,Food & Drink
17 Jan 2025,Gfn By Cloudgg Balcatta,,19.48,,,,Technology
17 Jan 2025,Super Cheap Auto Victoria Park,,6.49,,,,Automotive
17 Jan 2025,Atlas Fuel WA Welshpool,,47.20,,,,Fuel
17 Jan 2025,Tesco Stores 2577 Gravesend,,7.01,,,,Retail
17 Jan 2025,Intnl Transaction Fee,,0.00,,,
17 Jan 2025,Made In Italy Gravesend,,95.73,,,,Food & Drink
17 Jan 2025,Intnl Transaction Fee,,0.00,,,
17 Jan 2025,Kent & Medway Trading Chatham,,13.21,,,,Retail
17 Jan 2025,Intnl Transaction Fee,,0.00,,,
17 Jan 2025,Officeworks 0601office E Victoria Pk,,14.23,,,,Office Supplies
17 Jan 2025,Farmer Jacks Como Como,,42.95,,,,Grocery
17 Jan 2025,Steam Purchase Seattle,,5.49,,,,Entertainment
17 Jan 2025,Intnl Transaction Fee,,0.00,,,
